date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:26	57879/57879	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jul%202022%2017:06:26%20GMT	https://www.meta-maniacs.de/ourwork	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/ourwork.html	(from )
12:06:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:26%20GMT	https://www.meta-maniacs.de/robots.txt		(from )
12:06:27	180855/180855	---M-Z	200	added ('OK')	text/css	etag:%221940cbc66d5d3b3d781a13487b2de78a%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/css/meta-maniacs.webflow.b1fbd9455.min.css	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/css/meta-maniacs.webflow.b1fbd9455.min.css	(from https://www.meta-maniacs.de/ourwork)
12:06:28	1829/1829	---M--	200	added ('OK')	image/png	etag:%226a9ef66d174d8777dcbf0abe2a3a6090%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/6284f48ff5572b8595d815e5_MetaManiacs_M_lila_favicon.png	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/6284f48ff5572b8595d815e5_MetaManiacs_M_lila_favicon.png	(from https://www.meta-maniacs.de/ourwork)
12:06:29	53446/53446	---M--	200	added ('OK')	image/png	etag:%221336ff38b565edd0b78b38095a3755ef%22	https://uploads-ssl.webflow.com/6240418e5470d252171cded6/6284f4bfbb1c4f18e59d8230_MetaManiacs_M_lila_256.png	/Users/mahunandegbelo/websites/events%20template/uploads-ssl.webflow.com/6240418e5470d252171cded6/6284f4bfbb1c4f18e59d8230_MetaManiacs_M_lila_256.png	(from https://www.meta-maniacs.de/ourwork)
12:06:31	95164/95164	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289813876e4fe70af62ae5bce4f6488b5%22	http://cdn.cookie-script.com/s/056d1bd5de254d6f6e027a5b9e0421b7.js	/Users/mahunandegbelo/websites/events%20template/cdn.cookie-script.com/s/056d1bd5de254d6f6e027a5b9e0421b7.js	(from https://www.meta-maniacs.de/ourwork)
12:06:31	22601/22601	---M-Z	200	added ('OK')	application/javascript	etag:W/%225849-HskFaB57u355rmDEouV2hwP23S4%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	/Users/mahunandegbelo/websites/events%20template/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.meta-maniacs.de/ourwork)
12:06:32	10022/10022	---M-Z	200	added ('OK')	application/javascript	etag:W/%222726-pZtQEBriRhyoIYy77dWmPc7vVhc%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	/Users/mahunandegbelo/websites/events%20template/cdn.jsdelivr.net/npm/@finsweet/attributes-cmssort@1/cmssort.js	(from https://www.meta-maniacs.de/ourwork)
12:06:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:33%20GMT	https://www.meta-maniacs.de/whatworks	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/whatworks	(from https://www.meta-maniacs.de/ourwork)
12:06:34	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2027%20Jul%202022%2017:06:34%20GMT	https://www.meta-maniacs.de/whoworks	/Users/mahunandegbelo/websites/events%20template/www.meta-maniacs.de/whoworks	(from https://www.meta-maniacs.de/ourwork)
